sample	Ps_1stbaseCtoTfreq	At_1stbaseCtoTfreq	dates
HB0737	0.030296645878982	0.0255232102392576	1937
HB0766	0.0193834389726523	0.016454003964578	1846
HB0814	0.0369045861425986	0.031109891467381	1882
HB0828	0.0243784353373394	0.0126712203463595	1890
HB0840	0.0298252798252798	0.027578079482706	1851
HB0841	0.0302802802802803	0.0295895191570678	1875
HB0863	0.0290034148094896	0.0233483558140182	1954
PL0001	0.0207388961304255	0.021000709690164	1966
PL0026	0.0170692476219529	0.00922261748496502	2002
PL0027	0.0176801432570809	0.0106505050373681	1939
PL0042	0.0133133145852807	0.00728227417127602	1982
PL0046	0.0201967094230159	0.00882560515579159	1974
PL0051	0.0248283368650201	0.0121998371998372	1983
PL0053	0.0109774755922691	0.00619383329980679	1987
PL0059	0.0212976650365425	0.0130157039644389	1985
PL0065	0.0119148710327991	0.00371702103422829	2015
PL0066	0.0136566723803636	0.0046344670601364	2015
PL0068	0.0184097412904198	0.0115477365325199	1986
PL0073	0.0263302584152972	0.0102938773848405	1991
PL0080	0.014667570614583	0.0061094456325677	1985
PL0102	0.0262538422526047	0.0279540972071832	1888
PL0108	0.0260176543798411	0.0103249173455194	1946
PL0127	0.019845271420389	0.0130773780411515	1979
PL0131	0.0251651830291699	0.0112594801046636	1980
PL0137	0.020294560680346	0.0176743665753118	1961
PL0139	0.0158686456586489	0.00701058496994806	1996
PL0185	0.0173874712249596	0.0106046417920563	1994
PL0203	0.028725268585071	0.0273594418046836	1880
PL0210	0.0255781483421446	0.0150979108807557	1838
PL0220	0.024623765814689	0.0221868943139006	1946
PL0222	0.0213600753733173	0.0192941448764804	1887
PL0224	0.0236446697315821	0.0184611895133407	1889
PL0230	0.0217304135245955	0.0137499954555408	1851
PL0235	0.0288766388782203	0.025586940307346	1905
PL0240	0.0219029684608692	0.0267319330658658	1875
PL0258	0.0209854072462757	0.00809605857287355	1913
